Algorithm Name,Solution,Env Size,Objective Function,Iterations,Time
simulated_annealing,"[6, 9, 0, 7, 4, 2, 5, 8, 1, 3]",10,1,1000,0.03156781196594238
simulated_annealing,"[4, 0, 7, 4, 2, 8, 6, 1, 3, 5]",10,1,1000,0.029915571212768555
simulated_annealing,"[6, 3, 9, 4, 1, 8, 5, 7, 2, 0]",10,1,1000,0.03197908401489258
simulated_annealing,"[3, 0, 9, 7, 4, 1, 8, 2, 9, 6]",10,1,1000,0.03799772262573242
simulated_annealing,"[4, 1, 8, 6, 3, 7, 0, 5, 9, 2]",10,1,1000,0.0321660041809082
simulated_annealing,"[4, 1, 7, 9, 2, 8, 5, 3, 0, 6]",10,0,918,0.0306699275970459
simulated_annealing,"[6, 2, 9, 1, 4, 7, 3, 0, 7, 5]",10,1,1000,0.03641915321350098
simulated_annealing,"[0, 4, 9, 7, 5, 2, 8, 6, 1, 3]",10,1,1000,0.03803873062133789
simulated_annealing,"[3, 6, 9, 2, 8, 1, 4, 7, 5, 0]",10,0,918,0.03194880485534668
simulated_annealing,"[6, 8, 2, 7, 9, 3, 5, 0, 4, 6]",10,1,1000,0.03794074058532715
simulated_annealing,"[3, 9, 6, 1, 8, 4, 0, 7, 5, 2]",10,1,1000,0.03499937057495117
simulated_annealing,"[1, 6, 2, 5, 8, 4, 9, 3, 3, 7]",10,1,1000,0.035953521728515625
simulated_annealing,"[4, 2, 5, 9, 6, 1, 3, 7, 0, 8]",10,0,918,0.033003807067871094
simulated_annealing,"[6, 1, 7, 4, 0, 3, 5, 9, 2, 4]",10,1,1000,0.03406333923339844
simulated_annealing,"[3, 5, 0, 9, 6, 4, 7, 1, 8, 2]",10,0,918,0.03141427040100098
simulated_annealing,"[4, 9, 7, 0, 2, 8, 6, 1, 3, 5]",10,0,969,0.038648128509521484
simulated_annealing,"[3, 8, 2, 5, 1, 9, 0, 6, 4, 7]",10,0,918,0.03419828414916992
simulated_annealing,"[1, 9, 4, 6, 8, 2, 5, 3, 0, 7]",10,1,1000,0.0346989631652832
simulated_annealing,"[7, 2, 4, 9, 0, 5, 3, 1, 6, 8]",10,0,978,0.03495192527770996
simulated_annealing,"[2, 5, 8, 6, 1, 3, 5, 7, 9, 4]",10,1,1000,0.033989906311035156
simulated_annealing,"[2, 5, 7, 9, 0, 3, 1, 4, 8, 6]",10,1,1000,0.03490924835205078
simulated_annealing,"[3, 1, 6, 9, 2, 0, 7, 4, 1, 8]",10,1,1000,0.03821086883544922
simulated_annealing,"[8, 4, 2, 7, 3, 1, 6, 9, 5, 0]",10,1,1000,0.03500676155090332
simulated_annealing,"[6, 4, 7, 0, 3, 9, 1, 5, 8, 2]",10,1,1000,0.037481069564819336
simulated_annealing,"[4, 1, 3, 5, 7, 2, 0, 3, 6, 8]",10,1,1000,0.034560441970825195
simulated_annealing,"[11, 9, 5, 2, 10, 3, 0, 8, 10, 4, 6, 1]",12,1,1000,0.04935407638549805
